Title,Date,Valence,Chartpos,
El Cielo,2023-06-09T10:11:49Z,0.169,44
Starboy,2023-06-09T10:11:49Z,0.486,45
Another Love,2023-06-09T10:11:49Z,0.131,46
Like Crazy,2023-06-09T10:11:49Z,0.362,47
Tattoo,2023-06-09T10:11:49Z,0.303,48
Say Yes To Heaven,2023-06-09T10:11:49Z,0.179,49
Frágil,2023-06-09T10:11:49Z,0.393,50

Ella Baila Sola,2023-06-11T11:02:57Z,0.834,1
Peso Pluma: Bzrp Music Sessions, Vol. 55,2023-06-11T11:02:57Z,0.805,2
WHERE SHE GOES,2023-06-11T11:02:57Z,0.234,3
Take Two,2023-06-11T11:02:57Z,0.566,4
La Bebe - Remix,2023-06-11T11:02:57Z,0.559,5
un x100to,2023-06-11T11:02:57Z,0.562,6
Flowers,2023-06-11T11:02:57Z,0.646,7
Cupid - Twin Ver.,2023-06-11T11:02:57Z,0.726,8
Sprinter,2023-06-11T11:02:57Z,0.661,9
As It Was,2023-06-11T11:02:57Z,0.662,10
TQM,2023-06-11T11:02:57Z,0.963,11
Kill Bill,2023-06-11T11:02:57Z,0.418,12
Daylight,2023-06-11T11:02:57Z,0.324,13
Classy 101,2023-06-11T11:02:57Z,0.672,14
TQG,2023-06-11T11:02:57Z,0.607,15
Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie),2023-06-11T11:02:57Z,0.22,16
El Cielo,2023-06-11T11:02:57Z,0.169,17
El Azul,2023-06-11T11:02:57Z,0.844,18
Calm Down (with Selena Gomez),2023-06-11T11:02:57Z,0.811,19
Sunflower - Spider-Man: Into the Spider-Verse,2023-06-11T11:02:57Z,0.925,20
Cruel Summer,2023-06-11T11:02:57Z,0.564,21
Los del Espacio,2023-06-11T11:02:57Z,0.634,22
Creepin' (with The Weeknd & 21 Savage),2023-06-11T11:02:57Z,0.172,23
Like Crazy,2023-06-11T11:02:57Z,0.362,24
BESO,2023-06-11T11:02:57Z,0.53,25
Tá OK,2023-06-11T11:02:57Z,0.586,26
Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long),2023-06-11T11:02:57Z,0.277,27
See You Again (feat. Kali Uchis),2023-06-11T11:02:57Z,0.62,28
Last Night,2023-06-11T11:02:57Z,0.478,29
Yandel 150,2023-06-11T11:02:57Z,0.58,30
Anti-Hero,2023-06-11T11:02:57Z,0.533,31
I'm Good (Blue),2023-06-11T11:02:57Z,0.304,32
I Wanna Be Yours,2023-06-11T11:02:57Z,0.479,33
PRC,2023-06-11T11:02:57Z,0.893,34
Die For You (with Ariana Grande) - Remix,2023-06-11T11:02:57Z,0.506,35
Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset),2023-06-11T11:02:57Z,0.204,36
Angels Like You,2023-06-11T11:02:57Z,0.494,37
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),2023-06-11T11:02:57Z,0.83,38
Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee),2023-06-11T11:02:57Z,0.134,39
Frágil,2023-06-11T11:02:57Z,0.393,40
Die For You,2023-06-11T11:02:57Z,0.508,41
Boy's a Liar Pt. 2,2023-06-11T11:02:57Z,0.857,42
Who Told You (feat. Drake),2023-06-11T11:02:57Z,0.891,43
Dance The Night (From Barbie The Album),2023-06-11T11:02:57Z,0.775,44
I Ain't Worried,2023-06-11T11:02:57Z,0.825,45
La Bachata,2023-06-11T11:02:57Z,0.85,46
Moonlight,2023-06-11T11:02:57Z,0.896,47
People,2023-06-11T11:02:57Z,0.693,48
Starboy,2023-06-11T11:02:57Z,0.486,49
AMG,2023-06-11T11:02:57Z,0.786,50

Ella Baila Sola,2023-06-12T09:44:17Z,0.834,1
Peso Pluma: Bzrp Music Sessions, Vol. 55,2023-06-12T09:44:17Z,0.805,2
WHERE SHE GOES,2023-06-12T09:44:17Z,0.234,3
Take Two,2023-06-12T09:44:17Z,0.566,4
La Bebe - Remix,2023-06-12T09:44:17Z,0.559,5
un x100to,2023-06-12T09:44:17Z,0.562,6
Cupid - Twin Ver.,2023-06-12T09:44:17Z,0.726,7
Flowers,2023-06-12T09:44:17Z,0.646,8
As It Was,2023-06-12T09:44:17Z,0.662,9
TQM,2023-06-12T09:44:17Z,0.963,10
Sprinter,2023-06-12T09:44:17Z,0.661,11
Daylight,2023-06-12T09:44:17Z,0.324,12
Kill Bill,2023-06-12T09:44:17Z,0.418,13
Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie),2023-06-12T09:44:17Z,0.22,14
Classy 101,2023-06-12T09:44:17Z,0.672,15
Sunflower - Spider-Man: Into the Spider-Verse,2023-06-12T09:44:17Z,0.925,16
El Azul,2023-06-12T09:44:17Z,0.844,17
TQG,2023-06-12T09:44:17Z,0.607,18
Like Crazy,2023-06-12T09:44:17Z,0.362,19
Cruel Summer,2023-06-12T09:44:17Z,0.564,20
See You Again (feat. Kali Uchis),2023-06-12T09:44:17Z,0.62,21
I Wanna Be Yours,2023-06-12T09:44:17Z,0.479,22
Calm Down (with Selena Gomez),2023-06-12T09:44:17Z,0.811,23
Creepin' (with The Weeknd & 21 Savage),2023-06-12T09:44:17Z,0.172,24
El Cielo,2023-06-12T09:44:17Z,0.169,25
Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long),2023-06-12T09:44:17Z,0.277,26
Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset),2023-06-12T09:44:17Z,0.204,27
Angels Like You,2023-06-12T09:44:17Z,0.494,28
Die For You (with Ariana Grande) - Remix,2023-06-12T09:44:17Z,0.506,29
Anti-Hero,2023-06-12T09:44:17Z,0.533,30
Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee),2023-06-12T09:44:17Z,0.134,31
Last Night,2023-06-12T09:44:17Z,0.478,32
PRC,2023-06-12T09:44:17Z,0.893,33
Los del Espacio,2023-06-12T09:44:17Z,0.634,34
BESO,2023-06-12T09:44:17Z,0.53,35
Die For You,2023-06-12T09:44:17Z,0.508,36
Yandel 150,2023-06-12T09:44:17Z,0.58,37
Tá OK,2023-06-12T09:44:17Z,0.586,38
I'm Good (Blue),2023-06-12T09:44:17Z,0.304,39
Moonlight,2023-06-12T09:44:17Z,0.896,40
Boy's a Liar Pt. 2,2023-06-12T09:44:17Z,0.857,41
Frágil,2023-06-12T09:44:17Z,0.393,42
Starboy,2023-06-12T09:44:17Z,0.486,43
People,2023-06-12T09:44:17Z,0.693,44
I Ain't Worried,2023-06-12T09:44:17Z,0.825,45
AMG,2023-06-12T09:44:17Z,0.786,46
La Bachata,2023-06-12T09:44:17Z,0.85,47
Dance The Night (From Barbie The Album),2023-06-12T09:44:17Z,0.775,48
Another Love,2023-06-12T09:44:17Z,0.131,49
Blank Space,2023-06-12T09:44:17Z,0.583,50

Ella Baila Sola,2023-06-13T11:01:00Z,0.834,1
Peso Pluma: Bzrp Music Sessions, Vol. 55,2023-06-13T11:01:00Z,0.805,2
WHERE SHE GOES,2023-06-13T11:01:00Z,0.234,3
Take Two,2023-06-13T11:01:00Z,0.566,4
un x100to,2023-06-13T11:01:00Z,0.562,5
La Bebe - Remix,2023-06-13T11:01:00Z,0.559,6
Cupid - Twin Ver.,2023-06-13T11:01:00Z,0.726,7
Sprinter,2023-06-13T11:01:00Z,0.661,8
Flowers,2023-06-13T11:01:00Z,0.646,9
Daylight,2023-06-13T11:01:00Z,0.324,10
As It Was,2023-06-13T11:01:00Z,0.662,11
Kill Bill,2023-06-13T11:01:00Z,0.418,12
Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie),2023-06-13T11:01:00Z,0.22,13
TQM,2023-06-13T11:01:00Z,0.963,14
Sunflower - Spider-Man: Into the Spider-Verse,2023-06-13T11:01:00Z,0.925,15
El Cielo,2023-06-13T11:01:00Z,0.169,16
Cruel Summer,2023-06-13T11:01:00Z,0.564,17
Classy 101,2023-06-13T11:01:00Z,0.672,18
Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset),2023-06-13T11:01:00Z,0.204,19
Creepin' (with The Weeknd & 21 Savage),2023-06-13T11:01:00Z,0.172,20
See You Again (feat. Kali Uchis),2023-06-13T11:01:00Z,0.62,21
I Wanna Be Yours,2023-06-13T11:01:00Z,0.479,22
TQG,2023-06-13T11:01:00Z,0.607,23
Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee),2023-06-13T11:01:00Z,0.134,24
Like Crazy,2023-06-13T11:01:00Z,0.362,25
Calm Down (with Selena Gomez),2023-06-13T11:01:00Z,0.811,26
Los del Espacio,2023-06-13T11:01:00Z,0.634,27
Angels Like You,2023-06-13T11:01:00Z,0.494,28
Anti-Hero,2023-06-13T11:01:00Z,0.533,29
Die For You (with Ariana Grande) - Remix,2023-06-13T11:01:00Z,0.506,30
Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long),2023-06-13T11:01:00Z,0.277,31
Die For You,2023-06-13T11:01:00Z,0.508,32
El Azul,2023-06-13T11:01:00Z,0.844,33
BESO,2023-06-13T11:01:00Z,0.53,34
Last Night,2023-06-13T11:01:00Z,0.478,35
I'm Good (Blue),2023-06-13T11:01:00Z,0.304,36
Yandel 150,2023-06-13T11:01:00Z,0.58,37
Starboy,2023-06-13T11:01:00Z,0.486,38
Moonlight,2023-06-13T11:01:00Z,0.896,39
Boy's a Liar Pt. 2,2023-06-13T11:01:00Z,0.857,40
People,2023-06-13T11:01:00Z,0.693,41
PRC,2023-06-13T11:01:00Z,0.893,42
Another Love,2023-06-13T11:01:00Z,0.131,43
I Ain't Worried,2023-06-13T11:01:00Z,0.825,44
Dance The Night (From Barbie The Album),2023-06-13T11:01:00Z,0.775,45
Tá OK,2023-06-13T11:01:00Z,0.586,46
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),2023-06-13T11:01:00Z,0.83,47
Blank Space,2023-06-13T11:01:00Z,0.583,48
All My Life (feat. J. Cole),2023-06-13T11:01:00Z,0.733,49
Frágil,2023-06-13T11:01:00Z,0.393,50

Ella Baila Sola,2023-06-14T10:31:22Z,0.834,1
Peso Pluma: Bzrp Music Sessions, Vol. 55,2023-06-14T10:31:22Z,0.805,2
WHERE SHE GOES,2023-06-14T10:31:22Z,0.234,3
Take Two,2023-06-14T10:31:22Z,0.566,4
un x100to,2023-06-14T10:31:22Z,0.562,5
Sprinter,2023-06-14T10:31:22Z,0.661,6
La Bebe - Remix,2023-06-14T10:31:22Z,0.559,7
Flowers,2023-06-14T10:31:22Z,0.646,8
Cupid - Twin Ver.,2023-06-14T10:31:22Z,0.726,9
Daylight,2023-06-14T10:31:22Z,0.324,10
As It Was,2023-06-14T10:31:22Z,0.662,11
Kill Bill,2023-06-14T10:31:22Z,0.418,12
Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie),2023-06-14T10:31:22Z,0.22,13
TQM,2023-06-14T10:31:22Z,0.963,14
El Cielo,2023-06-14T10:31:22Z,0.169,15
Sunflower - Spider-Man: Into the Spider-Verse,2023-06-14T10:31:22Z,0.925,16
Classy 101,2023-06-14T10:31:22Z,0.672,17
Cruel Summer,2023-06-14T10:31:22Z,0.564,18
Creepin' (with The Weeknd & 21 Savage),2023-06-14T10:31:22Z,0.172,19
I Wanna Be Yours,2023-06-14T10:31:22Z,0.479,20
Calm Down (with Selena Gomez),2023-06-14T10:31:22Z,0.811,21
TQG,2023-06-14T10:31:22Z,0.607,22
Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset),2023-06-14T10:31:22Z,0.204,23
See You Again (feat. Kali Uchis),2023-06-14T10:31:22Z,0.62,24
Los del Espacio,2023-06-14T10:31:22Z,0.634,25
Like Crazy,2023-06-14T10:31:22Z,0.362,26
Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee),2023-06-14T10:31:22Z,0.134,27
Anti-Hero,2023-06-14T10:31:22Z,0.533,28
Angels Like You,2023-06-14T10:31:22Z,0.494,29
Die For You (with Ariana Grande) - Remix,2023-06-14T10:31:22Z,0.506,30
Die For You,2023-06-14T10:31:22Z,0.508,31
Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long),2023-06-14T10:31:22Z,0.277,32
BESO,2023-06-14T10:31:22Z,0.53,33
Last Night,2023-06-14T10:31:22Z,0.478,34
I'm Good (Blue),2023-06-14T10:31:22Z,0.304,35
El Azul,2023-06-14T10:31:22Z,0.844,36
Yandel 150,2023-06-14T10:31:22Z,0.58,37
Starboy,2023-06-14T10:31:22Z,0.486,38
People,2023-06-14T10:31:22Z,0.693,39
I Ain't Worried,2023-06-14T10:31:22Z,0.825,40
Moonlight,2023-06-14T10:31:22Z,0.896,41
Dance The Night (From Barbie The Album),2023-06-14T10:31:22Z,0.775,42
Boy's a Liar Pt. 2,2023-06-14T10:31:22Z,0.857,43
Another Love,2023-06-14T10:31:22Z,0.131,44
All My Life (feat. J. Cole),2023-06-14T10:31:22Z,0.733,45
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),2023-06-14T10:31:22Z,0.83,46
PRC,2023-06-14T10:31:22Z,0.893,47
Blank Space,2023-06-14T10:31:22Z,0.583,48
La Bachata,2023-06-14T10:31:22Z,0.85,49
golden hour,2023-06-14T10:31:22Z,0.153,50

Ella Baila Sola,2023-06-16T10:46:29Z,0.834,1
Peso Pluma: Bzrp Music Sessions, Vol. 55,2023-06-16T10:46:29Z,0.805,2
WHERE SHE GOES,2023-06-16T10:46:29Z,0.234,3
La Bebe - Remix,2023-06-16T10:46:29Z,0.559,4
un x100to,2023-06-16T10:46:29Z,0.562,5
Flowers,2023-06-16T10:46:29Z,0.646,6
Sprinter,2023-06-16T10:46:29Z,0.661,7
Cupid - Twin Ver.,2023-06-16T10:46:29Z,0.726,8
As It Was,2023-06-16T10:46:29Z,0.662,9
Daylight,2023-06-16T10:46:29Z,0.324,10
Kill Bill,2023-06-16T10:46:29Z,0.418,11
Take Two,2023-06-16T10:46:29Z,0.566,12
TQM,2023-06-16T10:46:29Z,0.963,13
Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie),2023-06-16T10:46:29Z,0.22,14
Cruel Summer,2023-06-16T10:46:29Z,0.564,15
Classy 101,2023-06-16T10:46:29Z,0.672,16
Sunflower - Spider-Man: Into the Spider-Verse,2023-06-16T10:46:29Z,0.925,17
Calm Down (with Selena Gomez),2023-06-16T10:46:29Z,0.811,18
TQG,2023-06-16T10:46:29Z,0.607,19
Creepin' (with The Weeknd & 21 Savage),2023-06-16T10:46:29Z,0.172,20
I Wanna Be Yours,2023-06-16T10:46:29Z,0.479,21
Los del Espacio,2023-06-16T10:46:29Z,0.634,22
See You Again (feat. Kali Uchis),2023-06-16T10:46:29Z,0.62,23
Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset),2023-06-16T10:46:29Z,0.204,24
Angels Like You,2023-06-16T10:46:29Z,0.494,25
El Cielo,2023-06-16T10:46:29Z,0.169,26
Like Crazy,2023-06-16T10:46:29Z,0.362,27
Anti-Hero,2023-06-16T10:46:29Z,0.533,28
BESO,2023-06-16T10:46:29Z,0.53,29
Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee),2023-06-16T10:46:29Z,0.134,30
I'm Good (Blue),2023-06-16T10:46:29Z,0.304,31
El Azul,2023-06-16T10:46:29Z,0.844,32
Last Night,2023-06-16T10:46:29Z,0.478,33
Die For You (with Ariana Grande) - Remix,2023-06-16T10:46:29Z,0.506,34
Die For You,2023-06-16T10:46:29Z,0.508,35
Yandel 150,2023-06-16T10:46:29Z,0.58,36
Heat Waves,2023-06-16T10:46:29Z,0.531,37
Say Yes To Heaven,2023-06-16T10:46:29Z,0.166,38
Starboy,2023-06-16T10:46:29Z,0.486,39
I Ain't Worried,2023-06-16T10:46:29Z,0.825,40
All My Life (feat. J. Cole),2023-06-16T10:46:29Z,0.733,41
People,2023-06-16T10:46:29Z,0.693,42
Dance The Night (From Barbie The Album),2023-06-16T10:46:29Z,0.775,43
Moonlight,2023-06-16T10:46:29Z,0.896,44
Another Love,2023-06-16T10:46:29Z,0.131,45
PRC,2023-06-16T10:46:29Z,0.893,46
Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long),2023-06-16T10:46:29Z,0.277,47
Boy's a Liar Pt. 2,2023-06-16T10:46:29Z,0.857,48
Blank Space,2023-06-16T10:46:29Z,0.583,49
Bye,2023-06-16T10:46:29Z,0.7,50
