Title,Date,Valence,Chartpos,
un x100to,2023-05-29T10:06:20Z,0.562,4
Cupid - Twin Ver.,2023-05-29T10:06:20Z,0.726,5
Flowers,2023-05-29T10:06:20Z,0.646,6
Kill Bill,2023-05-29T10:06:20Z,0.418,7
As It Was,2023-05-29T10:06:20Z,0.662,8
Daylight,2023-05-29T10:06:20Z,0.324,9
TQM,2023-05-29T10:06:20Z,0.963,10
TQG,2023-05-29T10:06:20Z,0.607,11
El Azul,2023-05-29T10:06:20Z,0.844,12
Classy 101,2023-05-29T10:06:20Z,0.672,13
Anti-Hero,2023-05-29T10:06:20Z,0.533,14
Calm Down (with Selena Gomez),2023-05-29T10:06:20Z,0.811,15
Die For You (with Ariana Grande) - Remix,2023-05-29T10:06:20Z,0.506,16
Creepin' (with The Weeknd & 21 Savage),2023-05-29T10:06:20Z,0.172,17
Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long),2023-05-29T10:06:20Z,0.277,18
See You Again (feat. Kali Uchis),2023-05-29T10:06:20Z,0.62,19
PRC,2023-05-29T10:06:20Z,0.893,20
Last Night,2023-05-29T10:06:20Z,0.478,21
Yandel 150,2023-05-29T10:06:20Z,0.58,22
Hits Different,2023-05-29T10:06:20Z,0.239,23
Angels Like You,2023-05-29T10:06:20Z,0.494,24
Boy's a Liar Pt. 2,2023-05-29T10:06:20Z,0.857,25
I Wanna Be Yours,2023-05-29T10:06:20Z,0.479,26
BESO,2023-05-29T10:06:20Z,0.53,27
All My Life (feat. J. Cole),2023-05-29T10:06:20Z,0.733,28
Acróstico,2023-05-29T10:06:20Z,0.353,29
Die For You,2023-05-29T10:06:20Z,0.508,30
Here With Me,2023-05-29T10:06:20Z,0.288,31
Say Yes To Heaven,2023-05-29T10:06:20Z,0.166,32
Cruel Summer,2023-05-29T10:06:20Z,0.564,33
AMG,2023-05-29T10:06:20Z,0.786,34
I'm Good (Blue),2023-05-29T10:06:20Z,0.304,35
People,2023-05-29T10:06:20Z,0.693,36
Por las Noches,2023-05-29T10:06:20Z,0.392,37
Dance The Night (From Barbie The Album),2023-05-29T10:06:20Z,0.775,38
I Ain't Worried,2023-05-29T10:06:20Z,0.822,39
Moonlight,2023-05-29T10:06:20Z,0.896,40
golden hour,2023-05-29T10:06:20Z,0.153,41
Tattoo,2023-05-29T10:06:20Z,0.303,42
Until I Found You (with Em Beihold) - Em Beihold Version,2023-05-29T10:06:20Z,0.342,43
Starboy,2023-05-29T10:06:20Z,0.486,44
Frágil,2023-05-29T10:06:20Z,0.393,45
Snow On The Beach (feat. More Lana Del Rey),2023-05-29T10:06:20Z,0.315,46
Another Love,2023-05-29T10:06:20Z,0.139,47
La Bachata,2023-05-29T10:06:20Z,0.85,48
Shakira: Bzrp Music Sessions, Vol. 53,2023-05-29T10:06:20Z,0.498,49
Like Crazy,2023-05-29T10:06:20Z,0.362,50

